pump_outlet_Pa,expander_outlet_Pa,expander_eff,heater_outlet_K,net_kW,thermal_eff,Q_in_kW,cost_proxy
2687181.9987651315,500000.64262269053,0.89999999752062,408.6497771984002,135.72043222489233,0.13572043222489233,1000.0,348.6284131321466
2712040.9093969497,500001.42814999796,0.8999999583232553,413.61391363743616,136.20286120075878,0.13620286120075878,1000.0,352.6549818284884
2724897.673395141,500000.56710164103,0.8999999583522027,413.61391363743616,136.46813972726696,0.13646813972726696,1000.0,354.75202491196325
2735926.729003258,500000.00096004363,0.8990831268089025,412.89098426234887,136.5502609612558,0.13655026096125578,1000.0,356.6688767771657
2742280.4397752583,500011.047617914,0.8999999571201949,412.6755031739244,136.82931887205868,0.13682931887205868,1000.0,357.6030654567962
2760850.1509976066,500011.44200895895,0.8999999583522027,413.61391363743616,137.1940849646399,0.1371940849646399,1000.0,360.6688116856409
2780495.3943195674,500001.42814999796,0.8999999583232553,413.61391363743616,137.58384775289014,0.13758384775289015,1000.0,363.93464413617914
2788511.2993612345,500011.047617914,0.8999999982972394,413.38573980428856,137.74008852949214,0.13774008852949216,1000.0,365.2738582042897
2808776.40388384,500010.81615829776,0.89999999594908,413.41777290287826,138.1310480800605,0.13813104808006052,1000.0,368.6767470965495
2827685.02227936,500000.0103484548,0.8999999991130065,417.7151978353742,138.46276137751096,0.13846276137751096,1000.0,371.8740776631299
2857791.2646979988,500000.0103484548,0.8999999994685666,415.99426595531884,139.058559043677,0.139058559043677,1000.0,377.0091274412976
2875890.3654620424,500000.0463186955,0.899999999887709,418.1266406154497,139.38272242754496,0.13938272242754496,1000.0,380.1223618381969
2884087.2512261993,500000.2078423065,0.899999999943345,418.31572294804914,139.5349231723163,0.1395349231723163,1000.0,381.53877818736345
2899277.2721740897,500000.0011311473,0.8999999775427795,417.7151978353742,139.8232867678437,0.13982328676784372,1000.0,384.17426372322336
2932725.089979519,500000.02332563995,0.8999999999970157,419.2085108659141,140.42647392872172,0.1404264739287217,1000.0,390.0262936022194
2932725.089979519,500000.0222817808,0.8999999999867085,419.1479511462263,140.42696492418347,0.14042696492418347,1000.0,390.0262936034563
2967724.1333076274,500001.0119244535,0.8999999987465307,420.2865989828232,141.0499373037086,0.1410499373037086,1000.0,396.2215960929115
3003901.5962586463,500000.0662612873,0.8999999934719352,424.8947700403888,141.62619052161972,0.14162619052161973,1000.0,402.70274478352513
3012710.4856451196,500000.0662612873,0.8999999934719352,424.93526718889285,141.78401079850184,0.14178401079850184,1000.0,404.29273489284935
3027075.9963932144,500001.92640836374,0.8999999797960464,422.60098598730656,142.07776466694085,0.14207776466694086,1000.0,406.8956750626736
3027075.9963932144,500000.01454147097,0.8999999802221238,422.2619098146758,142.08126590187507,0.14208126590187506,1000.0,406.8956750115443
