boiler_Pa,condenser_Pa,expander_eff,boiler_outlet_K,net_kW,thermal_eff,Q_in_kW,cost_proxy
4468143.607529586,5000.000228855107,0.8999999999978995,812.6108930484789,357.29585244701394,0.35729585244701395,1000.0,489.45148860261895
4550409.935941091,5000.000009879616,0.8999999999844566,813.1499660459998,357.96725560323966,0.35796725560323966,1000.0,496.03279487715247
4576398.574443051,5000.002334001673,0.8999999998233009,813.1339290625234,358.15103587069916,0.3581510358706992,1000.0,498.11188597664795
4686988.596245446,5000.000495697763,0.8999999999996845,813.1496761358347,358.93167063023685,0.35893167063023684,1000.0,506.95908769967355
4763409.606644382,5000.002773686599,0.8999999999990146,813.1499154090179,359.45762539134955,0.35945762539134957,1000.0,513.0727685316688
4974444.78380911,5000.000070131858,0.8999999999996765,813.1499276222105,360.86181902861847,0.36086181902861847,1000.0,529.9555827047675
5132512.956855239,5000.00225119139,0.8999999999739942,813.1347739985388,361.86787449483336,0.3618678744948334,1000.0,542.6010365515399
5205662.5071765585,5000.0000300923175,0.899999999998756,813.1496711086751,362.3245513601048,0.36232455136010483,1000.0,548.4530005742739
5422483.019245454,5000.000061559867,0.89999999998665,813.1496348806352,363.6302648486172,0.36363026484861716,1000.0,565.7986415412382
5585502.683868264,5000.000070131858,0.8999999999996765,813.1499276222105,364.57309980538736,0.3645730998053874,1000.0,578.8402147095
5739549.572359629,5000.000035931207,0.8999999999951439,813.0615914561159,365.4231987260391,0.3654231987260391,1000.0,591.1639657893531
5990999.859828338,5000.00050026944,0.8999999996368534,813.1499944887091,366.78627468731054,0.36678627468731057,1000.0,611.2799888298447
6051877.945222846,5000.000067506246,0.8999999999929411,813.1498775761463,367.103420981354,0.367103420981354,1000.0,616.1502356186747
6150363.797561096,5000.002833556022,0.8999999999929645,813.1497986863748,367.6086501054641,0.3676086501054641,1000.0,624.0291038057319
6301340.728231558,5000.002833556022,0.8999999999291222,813.1498024569207,368.3650136281446,0.3683650136281446,1000.0,636.1072582670299
6492087.721509591,5000.001974733217,0.8999999999568454,813.1498617972665,369.2906025974403,0.3692906025974403,1000.0,651.3670177259457
6635256.816545049,5000.002852225716,0.8999999999278879,813.1496711086751,369.96434536730476,0.36996434536730477,1000.0,662.8205453322574
6787701.5995606845,5000.000335587669,0.8999999999592497,813.142220405767,370.6619880479052,0.3706619880479052,1000.0,675.0161279697448
6911653.032428221,5000.000075849342,0.8999999999592497,813.1420742506681,371.21632597268194,0.37121632597268195,1000.0,684.9322425991477
7107495.063263448,5000.000809587054,0.8999999998408882,813.149143724229,372.06922736345985,0.3720692273634598,1000.0,700.5996050801692
7223794.436329401,5000.002773686599,0.8999999999720659,813.1499154090179,372.561939151811,0.37256193915181096,1000.0,709.9035549097041
7358523.224508363,5000.00050026944,0.8999999996368534,813.1499985468453,373.1207455505468,0.3731207455505468,1000.0,720.6818580042467
7518960.416864751,5000.000088966301,0.8999999999985819,813.1498774493018,373.77009806839925,0.3737700980683992,1000.0,733.5168333493502
7652907.703668713,5000.000049075899,0.8999999999952585,813.1493967441336,374.2993251135625,0.37429932511356245,1000.0,744.232616294066
7921251.66062693,5000.000009251274,0.8999999999992953,813.1499971269205,375.32624366143256,0.3753262436614326,1000.0,765.700132850239
8024442.281703995,5000.000009702144,0.8999999999996051,813.1499945301317,375.7097062734066,0.3757097062734066,1000.0,773.955382536367
8149299.716775799,5000.000304808478,0.8999999999976667,813.1499725539012,376.1655556064044,0.37616555560640436,1000.0,783.9439773423439
8240419.37732971,5000.0000000389755,0.8999999999837112,813.149999882151,376.49276720106525,0.3764927672010652,1000.0,791.2335501883314
8328849.422435745,5000.00000016641,0.8999999999992953,813.1499993968263,376.80600897715874,0.37680600897715877,1000.0,798.3079537949442
8444749.414661454,5000.000519233756,0.899999999841807,813.1499982565344,377.21028012661685,0.37721028012661684,1000.0,807.5799531918994
8582519.576420926,5000.00053048856,0.8999999999970655,813.1499990947539,377.6818269288122,0.3776818269288122,1000.0,818.601566114026
8717518.506464167,5000.000000116482,0.8999999999992953,813.1499921489714,378.1346751013855,0.3781346751013855,1000.0,829.4014805172179
8844856.657541752,5000.000485814203,0.8999999999815178,813.1499972285699,378.55371474493563,0.37855371474493565,1000.0,839.5885326055582
8883789.034403345,5000.000485814203,0.8999999999830682,813.1499303144204,378.680287528643,0.378680287528643,1000.0,842.7031227542993
9021652.259679839,5000.000140465728,0.8999999999992953,812.6991272591072,379.0620629253195,0.37906206292531947,1000.0,853.7321807744718
9101407.855573889,5000.00020169198,0.8999999999992282,813.1499914364928,379.3749715356221,0.37937497153562205,1000.0,860.1126284460038
9213373.274605528,5000.00020169198,0.8999999999942307,813.1499914700975,379.7240993012622,0.37972409930126216,1000.0,869.0698619691346
9433015.953749288,5000.000859350452,0.8999999991922163,813.1498903547979,380.39324939152954,0.3803932493915295,1000.0,886.6412763968772
9539519.809790581,5000.000038956088,0.8999999505896787,813.1499208959068,380.71044521229067,0.38071044521229064,1000.0,895.1615907124851
9646494.801816504,5000.002377390478,0.8999999999932969,813.1499963134703,381.0244425089192,0.3810244425089192,1000.0,903.7195841461247
