boiler_Pa,condenser_Pa,expander_eff,boiler_outlet_K,Q_in_kW,W_pump_kW,W_exp_kW,Q_out_kW,net_kW,thermal_eff,bal_kW
800000.0,12000.0,0.75,653.15,3017.478087977224,0.9965363825397798,615.5088265375551,2402.9657978222085,614.5122901550153,0.20365095362364524,0.0
800000.0,12000.0,0.75,693.15,3102.11346571809,0.9965363825397798,648.5598095338265,2454.550192566803,647.5632731512867,0.2087490610216561,4.547473508864641e-13
800000.0,12000.0,0.75,733.15,3187.352797292342,0.9965363825397798,683.5665266425228,2504.782807032359,682.569990259983,0.2141494944769925,4.547473508864641e-13
800000.0,12000.0,0.75,773.15,3273.3455066132215,0.9965363825397798,720.4331788345376,2553.908864161224,719.4366424519977,0.21978634427636862,0.0
800000.0,12000.0,0.75,813.15,3360.1945292072455,0.9965363825397798,759.0748040897506,2602.1162615000344,758.0782677072108,0.22560547049222787,4.547473508864641e-13
800000.0,12000.0,0.8,453.15,2584.530206482441,0.9965363825397798,515.1452450736733,2070.381497791307,514.1487086911335,0.19893313972557225,4.547473508864641e-13
800000.0,12000.0,0.8,493.15,2676.996875115049,0.9965363825397798,538.6237876503649,2139.369623847224,537.627251267825,0.20083222967704042,4.547473508864641e-13
800000.0,12000.0,0.8,533.15,2764.008053530694,0.9965363825397798,564.4436823007204,2200.5609076125133,563.4471459181806,0.20385148487481555,0.0
800000.0,12000.0,0.8,573.15,2848.9549639343913,0.9965363825397798,592.7512417257111,2257.2002585912196,591.7547053431713,0.2077093926841024,4.547473508864641e-13
800000.0,12000.0,0.8,613.15,2933.217709260496,0.9965363825397798,623.487663289716,2310.72658235332,622.4911269071762,0.2122212493610352,4.547473508864641e-13
800000.0,12000.0,0.8,653.15,3017.478087977224,0.9965363825397798,656.5427483067257,2361.931876053038,655.5462119241859,0.21724970084658787,0.0
800000.0,12000.0,0.8,693.15,3102.11346571809,0.9965363825397798,691.7971301694149,2411.312871931215,690.8005937868751,0.2226870813788772,4.547473508864641e-13
800000.0,12000.0,0.8,733.15,3187.352797292342,0.9965363825397798,729.1376284186905,2459.211705256191,728.1410920361507,0.22844697099571373,4.547473508864641e-13
800000.0,12000.0,0.8,773.15,3273.3455066132215,0.9965363825397798,768.4620574235068,2505.879985572254,767.465521040967,0.2344590632093182,4.547473508864641e-13
800000.0,12000.0,0.8,813.15,3360.1945292072455,0.9965363825397798,809.6797910290672,2551.511274560718,808.6832546465274,0.24066560659430516,0.0
800000.0,12000.0,0.85,453.15,2584.530206482441,0.9965363825397798,547.3418228907776,2038.184919974203,546.3452865082378,0.21139055954459768,4.547473508864641e-13
800000.0,12000.0,0.85,493.15,2676.996875115049,0.9965363825397798,572.2877743785125,2105.705637119076,571.2912379959727,0.21340751022409032,4.547473508864641e-13
800000.0,12000.0,0.85,533.15,2764.008053530694,0.9965363825397798,599.7214124445156,2165.283177468718,598.7248760619758,0.2166147364502703,0.0
800000.0,12000.0,0.85,573.15,2848.9549639343913,0.9965363825397798,629.7981943335682,2220.1533059833628,628.8016579510283,0.2207130916111979,4.547473508864641e-13
800000.0,12000.0,0.85,613.15,2933.217709260496,0.9965363825397798,662.4556422453229,2271.758603397713,661.4591058627831,0.22550631130259535,0.0
800000.0,12000.0,0.85,653.15,3017.478087977224,0.9965363825397798,697.5766700758958,2320.897954283868,696.580133693356,0.23084844806953037,0.0
800000.0,12000.0,0.85,693.15,3102.11346571809,0.9965363825397798,735.0344508050038,2368.075551295626,734.0379144224639,0.2366251017360984,0.0
800000.0,12000.0,0.85,733.15,3187.352797292342,0.9965363825397798,774.7087301948587,2413.640603480023,773.7121938123189,0.24274444751443514,4.547473508864641e-13
800000.0,12000.0,0.85,773.15,3273.3455066132215,0.9965363825397798,816.4909360124758,2457.8511069832853,815.494399629936,0.2491317821422677,4.547473508864641e-13
800000.0,12000.0,0.85,813.15,3360.1945292072455,0.9965363825397798,860.2847779683839,2500.906287621401,859.288241585844,0.25572574269638243,4.547473508864641e-13
800000.0,12000.0,0.9,453.15,2584.530206482441,0.9965363825397798,579.5384007078824,2005.9883421570983,578.5418643253425,0.22384797936362333,4.547473508864641e-13
800000.0,12000.0,0.9,493.15,2676.996875115049,0.9965363825397798,605.9517611066606,2072.041650390928,604.9552247241207,0.22598279077114036,4.547473508864641e-13
800000.0,12000.0,0.9,533.15,2764.008053530694,0.9965363825397798,634.9991425883104,2130.0054473249234,634.0026062057706,0.22937798802572487,0.0
800000.0,12000.0,0.9,573.15,2848.9549639343913,0.9965363825397798,666.8451469414252,2183.1063533755055,665.8486105588854,0.23371679053829342,4.547473508864641e-13
800000.0,12000.0,0.9,613.15,2933.217709260496,0.9965363825397798,701.4236212009304,2232.7906244421056,700.4270848183905,0.23879137324415572,0.0
800000.0,12000.0,0.9,653.15,3017.478087977224,0.9965363825397798,738.6105918450663,2279.8640325146976,737.6140554625265,0.24444719529247302,0.0
800000.0,12000.0,0.9,693.15,3102.11346571809,0.9965363825397798,778.2717714405921,2324.8382306600374,777.2752350580523,0.2505631220933195,4.547473508864641e-13
800000.0,12000.0,0.9,733.15,3187.352797292342,0.9965363825397798,820.279831971027,2368.0695017038547,819.2832955884871,0.2570419240331565,4.547473508864641e-13
800000.0,12000.0,0.9,773.15,3273.3455066132215,0.9965363825397798,864.5198146014451,2409.822228394316,863.5232782189053,0.2638045010752173,4.547473508864641e-13
800000.0,12000.0,0.9,813.15,3360.1945292072455,0.9965363825397798,910.889764907701,2450.3013006820843,909.8932285251611,0.2707858787984599,0.0
800000.0,20000.0,0.7,453.15,2540.022789915809,0.9915666477385675,406.42669345405045,2134.587663109497,405.43512680631187,0.159618696499865,0.0
800000.0,20000.0,0.7,493.15,2632.489458548417,0.9915666477385675,425.513129005678,2207.967896190478,424.52156235793944,0.16126239783388352,0.0
800000.0,20000.0,0.7,533.15,2719.5006369640623,0.9915666477385675,446.84177666185934,2273.6504269499414,445.85021001412076,0.1639456170570526,0.0
800000.0,20000.0,0.7,573.15,2804.4475473677594,0.9915666477385675,470.46658559952164,2334.9725284159767,469.47501895178306,0.16740374388261603,-4.547473508864641e-13
800000.0,20000.0,0.7,613.15,2888.7102926938646,0.9915666477385675,496.302542433186,2393.3993169084174,495.3109757854474,0.17146439954127263,0.0
800000.0,20000.0,0.7,653.15,2972.9706714105923,0.9915666477385675,524.2343014921779,2449.727936566153,523.2427348444394,0.17599996524559564,0.0
800000.0,20000.0,0.7,693.15,3057.606049151458,0.9915666477385675,554.1452593778301,2504.452356421367,553.1536927300916,0.18091071375385392,-4.547473508864641e-13
800000.0,20000.0,0.7,733.15,3142.84538072571,0.9915666477385675,585.9278306360179,2557.909116737431,584.9362639882794,0.18611678053764533,0.0
800000.0,20000.0,0.7,773.15,3228.8380900465895,0.9915666477385675,619.4862038212563,2610.3434528730722,618.4946371735177,0.1915533142030647,-4.547473508864641e-13
800000.0,20000.0,0.7,813.15,3315.6871126406136,0.9915666477385675,654.427070914661,2662.2516083736914,653.4355042669225,0.19707393432142226,0.0
800000.0,20000.0,0.75,453.15,2540.022789915809,0.9915666477385675,435.4571715579112,2105.5571850056363,434.4656049101726,0.1710479160403806,0.0
800000.0,20000.0,0.75,493.15,2632.489458548417,0.9915666477385675,455.90692393465525,2177.574101261501,454.9153572869167,0.1728080451793193,-4.547473508864641e-13
800000.0,20000.0,0.75,533.15,2719.5006369640623,0.9915666477385675,478.7590464234208,2241.73315718838,477.7674797756822,0.175682062096901,0.0
800000.0,20000.0,0.75,573.15,2804.4475473677594,0.9915666477385675,504.07134171377356,2301.3677723017245,503.079775066035,0.1793864091122771,0.0
800000.0,20000.0,0.75,613.15,2888.7102926938646,0.9915666477385675,531.7527240355564,2357.9491353060466,530.7611573878179,0.18373637492490014,0.0
800000.0,20000.0,0.75,653.15,2972.9706714105923,0.9915666477385675,561.6796087416192,2412.282629316712,560.6880420938807,0.1885952147075335,0.0
800000.0,20000.0,0.75,693.15,3057.606049151458,0.9915666477385675,593.7270636191042,2464.870552180093,592.7354969713657,0.19385607152885528,-4.547473508864641e-13
800000.0,20000.0,0.75,733.15,3142.84538072571,0.9915666477385675,627.7798185385903,2516.0571288348588,626.7882518908518,0.19943337198030436,-4.547473508864641e-13
800000.0,20000.0,0.75,773.15,3228.8380900465895,0.9915666477385675,663.7352183799176,2566.094438314411,662.743651732179,0.2052576292924667,-4.547473508864641e-13
800000.0,20000.0,0.75,813.15,3315.6871126406136,0.9915666477385675,701.1718616942796,2615.506817594073,700.1802950465411,0.2111720048544983,0.0
800000.0,20000.0,0.8,453.15,2540.022789915809,0.9915666477385675,464.48764966177197,2076.5267069017755,463.4960830140334,0.18247713558089623,0.0
800000.0,20000.0,0.8,493.15,2632.489458548417,0.9915666477385675,486.3007188636321,2147.1803063325237,485.3091522158935,0.18435369252475495,0.0
800000.0,20000.0,0.8,533.15,2719.5006369640623,0.9915666477385675,510.67631618498217,2209.815887426819,509.6847495372436,0.18741850713674937,0.0
800000.0,20000.0,0.8,573.15,2804.4475473677594,0.9915666477385675,537.676097828025,2267.763016187473,536.6845311802865,0.19136907434193803,0.0
800000.0,20000.0,0.8,613.15,2888.7102926938646,0.9915666477385675,567.2029056379268,2322.4989537036763,566.2113389901883,0.1960083503085276,0.0
800000.0,20000.0,0.8,653.15,2972.9706714105923,0.9915666477385675,599.1249159910604,2374.8373220672706,598.1333493433219,0.20119046416947134,0.0
800000.0,20000.0,0.8,693.15,3057.606049151458,0.9915666477385675,633.3088678603777,2425.288747938819,632.3173012126392,0.20680142930385648,0.0
800000.0,20000.0,0.8,733.15,3142.84538072571,0.9915666477385675,669.6318064411632,2474.2051409322858,668.6402397934247,0.21274996342296354,-4.547473508864641e-13
800000.0,20000.0,0.8,773.15,3228.8380900465895,0.9915666477385675,707.9842329385788,2521.8454237557494,706.9926662908402,0.2189619443818686,0.0
